bid,routine timestamp,routine score,name,day difference
298,2017-10-17,92,Bamboo Restaurant,-1.0
298,2018-05-24,87,Bamboo Restaurant,-1.0
300,2017-12-08,86,SUBWAY,-1.0
302,2017-07-28,81,MOULIN ROUGE,32.0
302,2018-01-30,96,MOULIN ROUGE,-1.0
302,2018-07-09,94,MOULIN ROUGE,-1.0
302,2019-03-06,94,MOULIN ROUGE,-1.0
302,2019-09-17,96,MOULIN ROUGE,-1.0
305,2018-01-04,88,PACIFIC CATCH,7.0
305,2019-01-17,90,PACIFIC CATCH,-1.0
315,2016-11-10,92,The Posh Bagel,308.0
315,2017-09-05,87,The Posh Bagel,9.0
315,2018-07-23,84,The Posh Bagel,-1.0
315,2019-07-23,94,The Posh Bagel,-1.0
318,2017-06-02,96,FIRST CUP,-1.0
318,2017-11-16,98,FIRST CUP,-1.0
318,2018-05-10,98,FIRST CUP,-1.0
318,2019-06-11,94,FIRST CUP,-1.0
320,2017-10-04,77,NAPOLI PIZZA RESTAURANT,6.0
320,2018-05-22,81,NAPOLI PIZZA RESTAURANT,-1.0
320,2019-03-14,88,NAPOLI PIZZA RESTAURANT,-1.0
323,2016-11-08,94,WAYO,-1.0
323,2018-08-02,98,WAYO,-1.0
323,2019-09-04,96,WAYO,-1.0
326,2018-01-23,81,TEN ICHI RESTAURANT,9.0
326,2019-01-16,78,TEN ICHI RESTAURANT,-1.0
328,2016-11-22,81,Miyako,10.0
328,2018-06-26,82,Miyako,-1.0
328,2019-07-09,87,Miyako,-1.0
337,2018-01-29,90,GORDO TAQUERIA #2,315.0
337,2018-12-04,89,GORDO TAQUERIA #2,6.0
379,2017-03-08,77,GIANT SCOOP,7.0
379,2018-03-28,77,GIANT SCOOP,-1.0
379,2019-04-08,82,GIANT SCOOP,-1.0
384,2017-05-01,76,RINCONSITO SALVADORENO,3.0
384,2018-01-03,96,RINCONSITO SALVADORENO,-1.0
384,2019-03-21,73,RINCONSITO SALVADORENO,-1.0
386,2017-11-16,84,ADELITA'S CAKES,-1.0
386,2019-01-17,68,ADELITA'S CAKES,1.0
389,2017-03-16,96,CAFE ELENA,-1.0
389,2018-03-12,100,CAFE ELENA,-1.0
389,2019-02-15,98,CAFE ELENA,-1.0
393,2017-07-05,76,SUPER STAR RESTAURANT,7.0
393,2018-06-19,81,SUPER STAR RESTAURANT,-1.0
393,2019-08-29,81,SUPER STAR RESTAURANT,-1.0
397,2019-04-08,96,View Lounge,-1.0
400,2018-02-22,90,COW HOLLOW CATERING,1.0
403,2017-09-25,88,HAAGEN-DAZS #561,-1.0
403,2018-04-30,94,HAAGEN-DAZS #561,-1.0
403,2019-08-22,88,HAAGEN-DAZS #561,-1.0
409,2017-06-27,83,EL FARO,-1.0
409,2019-01-03,66,EL FARO,-1.0
413,2018-10-17,74,HOUSE OF HUNAN,-1.0
415,2017-01-10,92,Cafe Madeleine,-1.0
415,2018-04-06,91,Cafe Madeleine,14.0
415,2019-05-17,96,Cafe Madeleine,-1.0
422,2018-05-01,96,Michelangelo Caffe,-1.0
423,2017-11-17,78,Orale Orale Inc,10.0
423,2019-05-07,90,Orale Orale Inc,-1.0
424,2017-01-12,90,CHATZ,305.0
424,2017-11-07,86,CHATZ,6.0
424,2018-06-18,86,CHATZ,-1.0
428,2017-10-26,98,Caffe Ambrosia,-1.0
428,2019-05-07,98,Caffe Ambrosia,-1.0
429,2018-02-28,-1,Calzone's,-1.0
429,2019-03-11,87,Calzone's,7.0
429,2019-09-11,87,Calzone's,-1.0
431,2018-04-17,86,Bohemian Cigar Store,301.0
431,2019-02-04,86,Bohemian Cigar Store,8.0
431,2019-08-20,88,Bohemian Cigar Store,-1.0
435,2016-12-12,92,Vieni-Vieni,-1.0
435,2018-04-10,88,Vieni-Vieni,8.0
435,2019-08-23,94,Vieni-Vieni,-1.0
436,2016-10-28,87,North Beach Restaurant,-1.0
436,2018-05-23,87,North Beach Restaurant,-1.0
436,2019-08-27,86,North Beach Restaurant,7.0
438,2017-10-10,84,Hawaii West,17.0
438,2018-12-18,77,Hawaii West,-1.0
442,2017-04-11,83,My Canh Restaurant,14.0
442,2019-08-22,85,My Canh Restaurant,-1.0
448,2017-06-07,88,Yuet Lee Restaurant,-1.0
462,2017-07-19,98,Garden of Eden,-1.0
462,2019-05-29,100,Garden of Eden,-1.0
463,2018-04-23,88,Sam's Pizza,9.0
470,2018-05-23,92,Franchino,-1.0
473,2018-04-09,90,Caffe Greco,-1.0
475,2016-11-02,90,Mara's,40.0
475,2018-04-10,90,Mara's,-1.0
477,2017-06-05,92,Il Pollaio,7.0
477,2019-09-24,96,Il Pollaio,-1.0
479,2018-06-07,92,Ristorante Ideale,1.0
479,2019-06-04,82,Ristorante Ideale,-1.0
480,2017-10-16,80,Mo's Grill,-1.0
480,2019-06-11,82,Mo's Grill,13.0
483,2017-10-30,96,Maykadeh Restaurant,-1.0
483,2019-08-16,91,Maykadeh Restaurant,7.0
484,2018-06-15,98,Columbus Cafe,-1.0
484,2019-08-29,98,Columbus Cafe,-1.0
485,2016-12-07,96,"Silverhat Bar, Inc",-1.0
485,2018-05-09,96,"Silverhat Bar, Inc",-1.0
486,2018-06-19,100,Tommaso,296.0
486,2019-04-04,85,Tommaso,7.0
486,2019-10-02,93,Tommaso,-1.0
488,2018-01-16,92,The House,15.0
488,2019-06-11,89,The House,-1.0
489,2016-12-20,80,Dol-Ho Restaurant,16.0
489,2017-11-30,75,Dol-Ho Restaurant,-1.0
489,2018-12-06,81,Dol-Ho Restaurant,-1.0
489,2019-09-03,80,Dol-Ho Restaurant,-1.0
494,2017-04-18,94,San Francisco Athletic Club,-1.0
494,2019-04-29,94,San Francisco Athletic Club,7.0
496,2017-10-16,92,Caffe Trieste,-1.0
496,2019-05-13,94,Caffe Trieste,-1.0
500,2016-11-28,89,Roxanne Cafe,23.0
500,2018-04-03,92,Roxanne Cafe,-1.0
500,2019-02-01,83,Roxanne Cafe,-1.0
500,2019-09-10,96,Roxanne Cafe,-1.0
502,2016-12-06,98,COURTYARD BY MARRIOTT-COFFEE SHOP,-1.0
502,2017-11-29,94,COURTYARD BY MARRIOTT-COFFEE SHOP,16.0
507,2016-11-28,90,Viking's Giant Sub,290.0
507,2017-08-23,86,Viking's Giant Sub,22.0
507,2018-08-03,92,Viking's Giant Sub,-1.0
507,2019-08-14,90,Viking's Giant Sub,-1.0
509,2018-03-14,87,Cafe Bakery,41.0
509,2019-03-05,88,Cafe Bakery,-1.0
510,2016-11-09,87,Donut Time,-1.0
510,2017-09-19,88,Donut Time,-1.0
510,2018-08-02,86,Donut Time,-1.0
510,2019-07-17,87,Donut Time,-1.0
519,2017-12-12,91,SHERATON PALACE - EMP.  CAFETERIA,-1.0
519,2019-04-17,94,SHERATON PALACE - EMP.  CAFETERIA,-1.0
522,2017-02-09,88,Boudin Sourdough Bakery,14.0
522,2017-09-22,92,Boudin Sourdough Bakery,-1.0
529,2017-03-28,90,Nizario's Pizza,-1.0
529,2018-11-08,87,Nizario's Pizza,-1.0
538,2017-09-27,88,Marnee Thai Restaurant,-1.0
538,2018-12-05,88,Marnee Thai Restaurant,-1.0
538,2019-08-05,94,Marnee Thai Restaurant,-1.0
539,2016-10-31,96,EL SALVADOR RESTAURANT,-1.0
539,2017-10-10,90,EL SALVADOR RESTAURANT,-1.0
539,2018-05-29,90,EL SALVADOR RESTAURANT,-1.0
539,2019-05-16,88,EL SALVADOR RESTAURANT,-1.0
542,2016-10-06,86,Hamburger Haven,274.0
542,2017-06-30,80,Hamburger Haven,7.0
542,2018-06-12,88,Hamburger Haven,-1.0
542,2019-01-31,84,Hamburger Haven,-1.0
542,2019-08-16,84,Hamburger Haven,-1.0
544,2017-08-22,74,THAI TIME RESTAURANT,-1.0
544,2018-09-25,72,THAI TIME RESTAURANT,7.0
544,2019-04-10,82,THAI TIME RESTAURANT,-1.0
547,2017-02-24,94,LITTLE HENRY'S,-1.0
547,2018-05-01,90,LITTLE HENRY'S,-1.0
547,2019-07-02,84,LITTLE HENRY'S,8.0
551,2016-11-07,81,Gordo Taqueria #1,85.0
551,2017-06-21,76,Gordo Taqueria #1,-1.0
551,2018-06-12,90,Gordo Taqueria #1,-1.0
551,2019-02-13,89,Gordo Taqueria #1,-1.0
551,2019-09-18,94,Gordo Taqueria #1,-1.0
552,2017-01-10,89,Loi's Vietnamese Restaurant,9.0
552,2017-08-15,81,Loi's Vietnamese Restaurant,-1.0
552,2018-05-03,84,Loi's Vietnamese Restaurant,-1.0
552,2019-08-15,84,Loi's Vietnamese Restaurant,-1.0
557,2017-10-18,76,TASTEBUDS,-1.0
557,2018-09-05,83,TASTEBUDS,-1.0
557,2019-04-19,96,TASTEBUDS,-1.0
562,2019-04-05,89,DESTINO RESTAURANT,-1.0
580,2017-03-07,96,TACO LOS ALTOS,202.0
580,2017-08-29,91,TACO LOS ALTOS,27.0
580,2018-03-13,94,TACO LOS ALTOS,-1.0
580,2019-04-15,85,TACO LOS ALTOS,-1.0
587,2018-01-31,88,NEW TSING TAO RESTAURANT,338.0
587,2018-12-03,70,NEW TSING TAO RESTAURANT,32.0
588,2017-01-03,91,BURRITO EXPRESS,7.0
588,2017-11-21,88,BURRITO EXPRESS,-1.0
588,2019-06-05,84,BURRITO EXPRESS,-1.0
589,2016-11-28,85,WON TON HOUSE,4.0
589,2018-06-11,82,WON TON HOUSE,-1.0
589,2019-07-23,81,WON TON HOUSE,-1.0
591,2018-02-06,89,YOU SEE SUSHI,346.0
591,2018-12-11,90,YOU SEE SUSHI,38.0
606,2017-07-20,78,TSING TAO RESTAURANT,26.0
606,2018-07-24,81,TSING TAO RESTAURANT,-1.0
606,2019-03-13,80,TSING TAO RESTAURANT,-1.0
606,2019-07-23,75,TSING TAO RESTAURANT,-1.0
615,2017-06-08,86,J & A RESTAURANT,12.0
615,2019-01-09,89,J & A RESTAURANT,-1.0
615,2019-10-02,94,J & A RESTAURANT,-1.0
619,2017-01-18,86,A-1 BAKERY,-1.0
619,2017-09-29,90,A-1 BAKERY,-1.0
619,2019-01-10,86,A-1 BAKERY,204.0
619,2019-07-17,78,A-1 BAKERY,16.0
625,2018-03-16,88,CALIFORNIA TENNIS CLUB,-1.0
625,2019-03-15,86,CALIFORNIA TENNIS CLUB,7.0
628,2016-11-30,90,EL BURRITO EXPRESS #2,-1.0
628,2018-05-04,74,EL BURRITO EXPRESS #2,7.0
628,2019-01-09,79,EL BURRITO EXPRESS #2,-1.0
628,2019-07-29,79,EL BURRITO EXPRESS #2,-1.0
631,2018-03-14,87,SUBWAY SANDWICHES & SALADS,8.0
631,2018-07-09,87,SUBWAY SANDWICHES & SALADS,-1.0
631,2019-07-17,81,SUBWAY SANDWICHES & SALADS,-1.0
639,2017-10-23,94,Swan Oyster Depot,-1.0
639,2018-06-20,92,Swan Oyster Depot,-1.0
639,2019-09-17,94,Swan Oyster Depot,-1.0
642,2018-04-26,96,ANDERSEN BAKERY,8.0
642,2019-03-05,90,ANDERSEN BAKERY,-1.0
645,2017-04-05,93,TAN-TAN,-1.0
645,2018-08-29,94,TAN-TAN,104.0
665,2016-10-05,83,BRAZEN HEAD RESTAURANT,-1.0
665,2017-11-27,89,BRAZEN HEAD RESTAURANT,10.0
665,2018-05-29,87,BRAZEN HEAD RESTAURANT,-1.0
665,2019-06-25,80,BRAZEN HEAD RESTAURANT,-1.0
670,2017-10-23,86,VIKINGS GIANT SUBMARINE SANDWICHES,182.0
670,2018-04-13,85,VIKINGS GIANT SUBMARINE SANDWICHES,10.0
670,2018-10-09,75,VIKINGS GIANT SUBMARINE SANDWICHES,-1.0
670,2019-05-07,86,VIKINGS GIANT SUBMARINE SANDWICHES,-1.0
691,2017-09-25,80,MARINA SUBMARINE,1.0
691,2018-03-07,92,MARINA SUBMARINE,-1.0
703,2018-04-17,73,THEM KY RESTAURANT,7.0
709,2017-09-27,87,MONG THU COFFEE SHOP,-1.0
726,2016-11-09,72,BEN WAH RESTAURANT,1.0
726,2018-05-22,74,BEN WAH RESTAURANT,-1.0
726,2018-11-26,80,BEN WAH RESTAURANT,-1.0
726,2019-05-30,81,BEN WAH RESTAURANT,-1.0
741,2018-02-22,94,MOZZARELLA DI BUFALA PIZZERIA II,77.0
741,2019-01-28,87,MOZZARELLA DI BUFALA PIZZERIA II,-1.0
744,2017-02-01,96,Cafe Bellini,-1.0
744,2018-01-16,98,Cafe Bellini,-1.0
744,2019-02-04,98,Cafe Bellini,-1.0
744,2019-09-30,92,Cafe Bellini,-1.0
754,2017-10-05,98,Educated Palate,-1.0
754,2019-04-10,92,Educated Palate,-1.0
758,2017-12-12,94,BAKERY/ICE CREAM/STOREROOM,22.0
758,2019-04-17,90,BAKERY/ICE CREAM/STOREROOM,-1.0
768,2017-01-24,92,MOSHI MOSHI,-1.0
773,2016-12-05,96,MARIPOSA HUNTERS POINT YACHT CLUB,-1.0
773,2018-09-13,98,MARIPOSA HUNTERS POINT YACHT CLUB,-1.0
774,2016-12-05,90,BAY VIEW BOAT CLUB,-1.0
774,2018-09-13,96,BAY VIEW BOAT CLUB,-1.0
782,2017-01-31,96,MONTE CRISTO SOCIAL CLUB,-1.0
782,2018-04-13,92,MONTE CRISTO SOCIAL CLUB,-1.0
786,2018-02-06,86,Piperade,-1.0
786,2019-02-15,96,Piperade,215.0
786,2019-09-06,90,Piperade,12.0
792,2016-10-17,90,Boudin Bakery,14.0
792,2017-07-13,85,Boudin Bakery,-1.0
792,2018-01-23,96,Boudin Bakery,-1.0
792,2018-10-12,94,Boudin Bakery,-1.0
792,2019-06-26,96,Boudin Bakery,-1.0
795,2017-01-04,98,Ben & Jerry's,-1.0
795,2017-10-25,96,Ben & Jerry's,-1.0
795,2018-07-09,96,Ben & Jerry's,-1.0
798,2016-12-09,83,Sushi Rapture,3.0
798,2017-11-03,94,Sushi Rapture,-1.0
798,2018-05-23,96,Sushi Rapture,-1.0
798,2019-04-17,96,Sushi Rapture,-1.0
799,2017-09-20,98,Courtyard by Marriott at Fisherman's Wharf,-1.0
799,2018-06-12,100,Courtyard by Marriott at Fisherman's Wharf,-1.0
811,2017-09-06,94,EDEN PLAZA CAFE,19.0
811,2019-03-26,58,EDEN PLAZA CAFE,-1.0
816,2017-01-17,85,B & J QUARTER POUNDER BURGERS,8.0
816,2018-11-27,88,B & J QUARTER POUNDER BURGERS,-1.0
816,2019-07-03,88,B & J QUARTER POUNDER BURGERS,-1.0
824,2016-11-03,80,BABY'S EATERY AND PALABOK,7.0
824,2017-06-21,71,BABY'S EATERY AND PALABOK,-1.0
824,2018-06-13,77,BABY'S EATERY AND PALABOK,-1.0
826,2017-07-24,90,ANGELINA'S DELI-CAFE & CATERING,-1.0
826,2018-07-27,94,ANGELINA'S DELI-CAFE & CATERING,-1.0
826,2019-03-01,94,ANGELINA'S DELI-CAFE & CATERING,215.0
826,2019-09-25,90,ANGELINA'S DELI-CAFE & CATERING,7.0
827,2017-03-02,84,TAQUERIA EL FAROLITO NO. 2,7.0
827,2018-01-25,85,TAQUERIA EL FAROLITO NO. 2,-1.0
827,2019-04-16,83,TAQUERIA EL FAROLITO NO. 2,-1.0
835,2017-11-14,86,Kam Po Kitchen,3.0
835,2018-09-17,88,Kam Po Kitchen,-1.0
840,2017-06-20,87,Molinari Delicatessen,-1.0
845,2018-02-02,98,Cafe Jacqueline,-1.0
845,2019-05-29,92,Cafe Jacqueline,7.0
847,2018-01-23,92,Golden Boy Pizza,-1.0
847,2019-05-13,94,Golden Boy Pizza,-1.0
852,2017-11-29,83,New Hollywood Bakery & Restaurant,8.0
854,2018-04-18,79,Firenze By Night,8.0
854,2018-08-16,92,Firenze By Night,-1.0
856,2017-10-18,92,DELFINA RESTAURANT,6.0
856,2018-05-10,96,DELFINA RESTAURANT,-1.0
856,2019-08-15,92,DELFINA RESTAURANT,-1.0
874,2016-10-12,94,Pancho's Salsa Bar & Grill,334.0
874,2017-09-08,85,Pancho's Salsa Bar & Grill,3.0
874,2018-05-21,90,Pancho's Salsa Bar & Grill,-1.0
874,2019-02-22,96,Pancho's Salsa Bar & Grill,-1.0
876,2017-05-11,83,"PATPONG THAI CUISINE, INC.",33.0
876,2018-05-31,86,"PATPONG THAI CUISINE, INC.",-1.0
876,2019-01-02,74,"PATPONG THAI CUISINE, INC.",-1.0
876,2019-05-23,83,"PATPONG THAI CUISINE, INC.",-1.0
884,2016-10-05,83,House of Nanking,7.0
884,2017-12-06,92,House of Nanking,-1.0
884,2018-12-05,90,House of Nanking,-1.0
886,2016-12-28,96,Le Petit Cafe,-1.0
886,2019-04-29,96,Le Petit Cafe,-1.0
891,2016-10-24,92,Lucky Creation Vegetarian Restaurant LLC,-1.0
891,2017-12-28,96,Lucky Creation Vegetarian Restaurant LLC,-1.0
891,2018-12-27,85,Lucky Creation Vegetarian Restaurant LLC,43.0
891,2019-08-05,84,Lucky Creation Vegetarian Restaurant LLC,-1.0
892,2017-08-15,87,Happy Donuts,-1.0
892,2018-10-22,86,Happy Donuts,24.0
892,2019-06-13,92,Happy Donuts,-1.0
902,2017-06-30,94,MARCELLO'S PIZZA,-1.0
902,2018-06-19,100,MARCELLO'S PIZZA,-1.0
902,2019-08-27,100,MARCELLO'S PIZZA,-1.0
903,2017-12-11,91,Sabra Restaurant,-1.0
903,2019-02-05,90,Sabra Restaurant,-1.0
903,2019-08-26,98,Sabra Restaurant,-1.0
905,2017-12-12,96,Working Girls' Cafe',353.0
905,2019-04-15,87,Working Girls' Cafe',-1.0
917,2018-05-09,100,Town & Country Club,-1.0
917,2019-02-13,92,Town & Country Club,-1.0
919,2017-04-10,96,"Ritz-Carlton, SF -  P-37 Restaurant and Bar",-1.0
919,2018-04-25,96,"Ritz-Carlton, SF -  P-37 Restaurant and Bar",6.0
919,2019-03-12,96,"Ritz-Carlton, SF -  P-37 Restaurant and Bar",-1.0
919,2019-09-27,96,"Ritz-Carlton, SF -  P-37 Restaurant and Bar",-1.0
920,2017-04-10,92,Ritz-Carlton SF - Club Lounge,-1.0
920,2018-04-25,100,Ritz-Carlton SF - Club Lounge,-1.0
920,2019-05-21,92,Ritz-Carlton SF - Club Lounge,-1.0
920,2019-06-07,92,Ritz-Carlton SF - Club Lounge,-1.0
929,2018-08-13,89,Cafe Ethiopia,1.0
935,2017-10-23,92,PEKING WOK RESTAURANT,-1.0
935,2018-11-14,88,PEKING WOK RESTAURANT,-1.0
935,2019-07-08,87,PEKING WOK RESTAURANT,-1.0
941,2019-01-03,90,TWO JACKS SEAFOOD #2,8.0
943,2016-11-04,87,EL CASTILLITO TAQUERIA INC.,-1.0
943,2018-04-26,76,EL CASTILLITO TAQUERIA INC.,7.0
949,2017-04-25,94,BUFFALO BURGERS RESTAURANT,-1.0
949,2018-06-07,93,BUFFALO BURGERS RESTAURANT,274.0
949,2019-02-15,87,BUFFALO BURGERS RESTAURANT,21.0
949,2019-08-20,90,BUFFALO BURGERS RESTAURANT,-1.0
950,2016-12-14,85,IRVING PIZZA,9.0
950,2017-09-11,96,IRVING PIZZA,-1.0
950,2018-09-05,98,IRVING PIZZA,-1.0
950,2019-09-09,98,IRVING PIZZA,-1.0
